"","NAME","PERMIT_NO","ADDRESS","CITY","ZIP_CODE","PHONE","CONTACT","PUMPS","CNG_DEV","CPCODE","CPNAME","ACREAGE","SHAPE_AREA","SHAPE_LEN","latitude","longitude"
"1","CHULA VISTA ELEM.SCHL/ATN: BARRY",10231,"84 E ""J"" STREET","CHULA VISTA",91910,"619 425-9600",NA,0,2,NA,NA,NA,NA,NA,-117.290396838326,33.0384657531839
"2","COSD AWM STANDARDS ENFORCEMENT",17000,"5555 OVERLAND AVE","SAN DIEGO",0,"858-614-2778",NA,0,1,50,"KEARNY MESA",4422.62522793,192654079.159,85207.8673967,-117.130759491254,32.8335436797069
"3","EXPRESS FINANCIAL SERVICE",0,"390 E SAN YSIDRO BLVD","SAN YSIDRO",92173,"619-428-1800",NA,0,1,33,"SAN YSIDRO",1862.29010478,81121357.007,44119.18566,-117.037811072078,32.5505143825034
"4","FERRELL GAS/EMERALD OIL",0,"5600 BALTIMORE DR","LA MESA",91942,"858 271-4400","FERRELLGAS",0,1,NA,NA,NA,NA,NA,-117.033214510495,32.7810568082448
"5","PEARSON FORD FUELS",13880,"4067 EL CAJON BLVD","SAN DIEGO",92105,NA,"LISA PIETILA/BUSINESS MGR",0,2,56,"MID-CITY:CITY HEIGHTS",2935.50927873,127870892.422,53479.7643387,-117.10784537444,32.7550286325837
"6","POWAY SCHOOL DIST",10227,"13626 TWIN PEAKS RD","POWAY",92064,"654-1105",NA,0,2,NA,NA,NA,NA,NA,-117.035692793781,32.9784905966338
"7","PREMIER FOOD SERV MGT GROUP",15843,"4200 RUFFIN ROAD","SAN DIEGO",92123,NA,NA,0,1,50,"KEARNY MESA",4422.62522793,192654079.159,85207.8673967,-117.125093484543,32.8177535471318
"8","SDG&E/GAS OPS/C. CRISS",10228,"5488 OVERLAND AVE","SAN DIEGO",92123,"654-1105",NA,0,2,50,"KEARNY MESA",4422.62522793,192654079.159,85207.8673967,-117.131170427199,32.8333691498087
"9","SDG&E/GAS OPS/C. CRISS",10225,"6875 CONSOLIDATED WAY","SAN DIEGO",92121,"654-1105",NA,0,2,15,"MIRA MESA",10729.0159538,467349981.008,107975.395374,-117.16708697391,32.8776939285241
"10","SDG&E/GAS OPS/C. CRISS",13788,"5016 CARLSBAD AVENUE","CARLSBAD",92008,"562-806-5909","MALLINA OR RON LEDBETTER",0,2,NA,NA,NA,NA,NA,-117.335254410104,33.1324682558503
"11","76 CONOCOPHILLIPS #252196",3599,"3795 6TH AV","SAN DIEGO",92103,"619-296-2157",NA,32,0,42,"UPTOWN",2646.93163314,115753599.083,61250.8361473,-117.159361300599,32.7468177342523
"12","7-ELEVEN #13627 /7-ELEVEN, INC",2434,"102 LEUCADIA BLVD","ENCINITAS",92024,"744-3604",NA,12,0,NA,NA,NA,NA,NA,-117.301586162051,33.0645928450512
"13","ALLEN GAS TRUCK STOP",11836,"3205 MAIN ST","CHULA VISTA",91911,"619-585-3058",NA,18,0,NA,NA,NA,NA,NA,-117.064237263411,32.5946442609875
"14","APRO-LLC #27",14780,"976 ESCONDIDO AV","VISTA",92083,"323-893-2411",NA,44,0,NA,NA,NA,NA,NA,-117.234787776255,33.1929068484527
"15","ARCO AMPM #607",2903,"3190 MAIN ST","CHULA VISTA",91911,NA,NA,24,0,NA,NA,NA,NA,NA,-117.064876294755,32.5949204882142
"16","ARCO AMPM #6523",12668,"133 8TH ST","NATIONAL CITY",91950,"714 670-5179",NA,56,0,NA,NA,NA,NA,NA,-117.108337831422,32.6755719622821
"17","ARCO-MELROSE ARCO",14118,"1590 S MELROSE DR","VISTA",92081,"760-599-7059",NA,36,0,NA,NA,NA,NA,NA,-117.247561102186,33.1676781233354
"18","BJ'S RENTALS",15310,"2665 MAIN ST","CHULA VISTA",91911,"619 423-7000",NA,2,0,NA,NA,NA,NA,NA,-117.075929947451,32.5946372853238
"19","CARMEL MTN RANCH CAR WASH, INC",12396,"11030 RANCHO CARMEL DR","SAN DIEGO",92128,"858-451-1212",NA,48,0,3,"CARMEL MOUNTAIN RANCH",1522.7694068,66331835.3361,36137.232132,-117.082652116733,32.9772611867102
"20","CIRCLE K - #2964",2440,"60 BROADWAY","CHULA VISTA",91910,"602-437-7576",NA,12,0,NA,NA,NA,NA,NA,-117.095487239846,32.6460123919436
"21","COSTCO WHOLESALE #781",10617,"1130 BROADWAY","CHULA VISTA",91911,NA,NA,24,0,NA,NA,NA,NA,NA,-117.081057462464,32.6090253622213
"22","FILLCO, AMMEX OIL, INC.",15055,"1244 N SANTA FE AV","VISTA",92083,"760 806-5360",NA,28,0,NA,NA,NA,NA,NA,-117.245025746161,33.2162555681629
"23","GOLDEN STATE GASOLINE, INC.",2697,"7081 BROADWAY","LEMON GROVE",91945,"619-593-6652",NA,28,0,NA,NA,NA,NA,NA,-117.044583080787,32.7423855231794
"24","OPTIMA CAR WASH",11062,"498 BROADWAY","CHULA VISTA",91910,"619-691-0942",NA,24,0,NA,NA,NA,NA,NA,-117.089627859921,32.6309544546344
"25","PETROL MINI MART",7303,"4430 MAIN ST","CHULA VISTA",91911,"619-498-0218","YOGESH PATEL",26,0,NA,NA,NA,NA,NA,-117.038019124348,32.5947113744485
"26","REFLECTSHINE AUTO WASH",7199,"3528 COLLEGE BLVD","OCEANSIDE",92056,"760-945-9111",NA,24,0,NA,NA,NA,NA,NA,-117.295384221508,33.1802245925883
"27","SHELL - OTAY VALLEY SHELL",14503,"4555 MAIN ST","CHULA VISTA",91911,"619-482-1896",NA,28,0,NA,NA,NA,NA,NA,-117.034587531886,32.5947445511365
"28","SHELL OIL PRODUCTS US #128022",10869,"400 SYCAMORE AV","VISTA",92083,"602-468-6944",NA,40,0,NA,NA,NA,NA,NA,-117.213256427941,33.1687715742799
"29","SHELL OIL PRODUCTS US #135270",5845,"160 ENCINITAS BLVD","ENCINITAS",92024,"602-468-6944",NA,30,0,NA,NA,NA,NA,NA,-117.289916395891,33.0487972520136
"30","SKS INC.",2706,"1726 MISSION","ESCONDIDO",92029,"858-530-1193",NA,24,0,NA,NA,NA,NA,NA,-117.117920271312,33.1284274322286
"31","THRIFTY #9758",2703,"398 EL CAJON BLVD","EL CAJON",92020,NA,NA,24,0,NA,NA,NA,NA,NA,-116.971407631674,32.7914624930569
"32","VALERO-HIGHLAND VALERO",13942,"804 8TH ST","NATIONAL CITY",91950,"619-477-5544",NA,28,0,NA,NA,NA,NA,NA,-117.098536933583,32.6780342040239
"33","7-ELEVEN #25302 /7-ELEVEN, INC",3512,"711 JAMACHA RD","EL CAJON",92019,"579-8711",NA,12,0,NA,NA,NA,NA,NA,-116.92764125901,32.787353819524
"34","CHEVRON #45/G&M OIL CO., #45",1757,"3774 MAIN ST","SAN DIEGO",92113,"714-375-4700",NA,28,0,2,"BARRIO LOGAN",551.69622779,24031887.8004,41958.6535406,-117.112577997834,32.6840171402472
